Flightplan |   F 06 33 (TIG) ->   F 06 33 (TIG) - Display Decimal - TIG (hrs min .01sec)
PC |   F 16 45 MARKS, TFI, -00001 ->   F 16 45 MARKS, TFI, -00001 - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
TPI |   F 06 37 TIG of TPI ->   F 06 37 TIG of TPI - Display Decimal - TIG TPI (hrs min .01sec)
TPI |   F 06 55 B, ELEV ANGLE, CENT ANGLE ->   F 06 55 B, ELEV ANGLE, CENT ANGLE - Display Decimal - R1=No of Apsis Crossings, R2=Elevation Angle, R3=Central Angle (0000X. .01° .01°)
TPI |   F 16 45 MARKS, TFI, -00001 ->   F 16 45 MARKS, TFI, -00001 - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
TPI |  06 18 Auto Maneuver to FDAI RPY Angles ->  06 18 Auto Maneuver to FDAI RPY Angles - Display Decimal - Desired Maneuver to FDAI RPY Angles (.01°)
TPI |  F 50 18 Request Maneuver to FDAI RPY angles ->  F 50 18 Request Maneuver to FDAI RPY angles - Please Perform - Desired Maneuver to FDAI RPY Angles (.01°)
TPI |   F 06 37 TIG of TPI ->   F 06 37 TIG of TPI - Display Decimal - TIG TPI (hrs min .01sec)
TPI |   F 06 58 HP, dV(TPI), dV(TPF) ->   F 06 58 HP, dV(TPI), dV(TPF) - Display Decimal - R1=Perigee Alt. (Post TPI/SOR), R2=dV TPI/SOR, R3=dV TPF/SOR FINAL (.1fps)
TPI |   F 06 59 dV LOS ->   F 06 59 dV LOS - Display Decimal - R1=dV LOS Fwd/Aft (+FWD), R2=dV LOS Rt/Left (+RT), R3=dV LOS Up/Dn (+DN) (.1fps)
TPI |   F 16 45 MARKS, TFI, -00001 ->   F 16 45 MARKS, TFI, -00001 - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
TPI |   F 06 37 TIG of TPI ->   F 06 37 TIG of TPI - Display Decimal - TIG TPI (hrs min .01sec)
TPI |   F 06 58 HP, dV(TPI), dV(TPF) ->   F 06 58 HP, dV(TPI), dV(TPF) - Display Decimal - R1=Perigee Alt. (Post TPI/SOR), R2=dV TPI/SOR, R3=dV TPF/SOR FINAL (.1fps)
TPI |   F 06 59 dV LOS ->   F 06 59 dV LOS - Display Decimal - R1=dV LOS Fwd/Aft (+FWD), R2=dV LOS Rt/Left (+RT), R3=dV LOS Up/Dn (+DN) (.1fps)
TPI |   F 16 45 MARKS, TFI, -00001 ->   F 16 45 MARKS, TFI, -00001 - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
TPI |   F 06 16 Load TIG TPI ->   F 06 16 Load TIG TPI - Display Decimal - Time of Event (Extended Verbs Only) (hrs min .01sec)
TPI |   F 06 90 Y, Ydot, PSI ->   F 06 90 Y, Ydot, PSI - Display Decimal - Rendezvous Out of Plane Parameter, R1=Y, R2=YDOT, R3=PSI (.01nm .1fps .01°)
TPI |   F 16 45 MARKS, TFI, -00001 ->   F 16 45 MARKS, TFI, -00001 - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
TPI |   F 06 37 TIG of TPI ->   F 06 37 TIG of TPI - Display Decimal - TIG TPI (hrs min .01sec)
TPI |   F 06 58 HP, dV(TPI), dV(TPF) ->   F 06 58 HP, dV(TPI), dV(TPF) - Display Decimal - R1=Perigee Alt. (Post TPI/SOR), R2=dV TPI/SOR, R3=dV TPF/SOR FINAL (.1fps)
TPI |   F 06 81 dV XYZ (LV) ->   F 06 81 dV XYZ (LV) - Display Decimal - R1=dVX (LV) (+Fwd), R2=dVY (LV) (+Rt), R3=dVZ (LV) (+Dn) (.1fps)
TPI |   F 06 59 dV LOS ->   F 06 59 dV LOS - Display Decimal - R1=dV LOS Fwd/Aft (+FWD), R2=dV LOS Rt/Left (+RT), R3=dV LOS Up/Dn (+DN) (.1fps)
TPI |   F 16 45 MARKS, TFI, MGA ->   F 16 45 MARKS, TFI, MGA - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
TPI |   F 37 ->   F 37 - Change Program
TPI |   F 50 18 Request MNVR to FDAI RPY Angles ->   F 50 18 Request MNVR to FDAI RPY Angles - Please Perform - Desired Maneuver to FDAI RPY Angles (.01°)
TPI |   16 85 VG XYZ (LM) ->   16 85 VG XYZ (LM) - Monitor Decimal - R1=dGX (LM) (+Up), R2=dGY (LM) (+Rt), R3=dGZ (LM) (+Fwd) (.1fps)
TPI |   F 06 86 dVX, dVY, dVZ  ->   F 06 86 dVX, dVY, dVZ  - Display Decimal - R1=dGX (LV) (+Fwd), R2=dGY (LV) (+Rt), R3=dGZ (LV) (+Dn) (.1fps)
TPI |   16 85 VG XYZ (LM) ->   16 85 VG XYZ (LM) - Monitor Decimal - R1=dGX (LM) (+Up), R2=dGY (LM) (+Rt), R3=dGZ (LM) (+Fwd) (.1fps)
TPI |   16 85 (AVE G ON) ->   16 85 (AVE G ON) - Monitor Decimal - R1=dGX (LM) (+Up), R2=dGY (LM) (+Rt), R3=dGZ (LM) (+Fwd) (.1fps)
TPI |   F 16 85 VG XYZ (LM) ->   F 16 85 VG XYZ (LM) - Monitor Decimal - R1=dGX (LM) (+Up), R2=dGY (LM) (+Rt), R3=dGZ (LM) (+Fwd) (.1fps)
TPI |   F 37 ->   F 37 - Change Program
MCC1 |   F 16 45 MARKS, TFI, -00001 ->   F 16 45 MARKS, TFI, -00001 - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
MCC1 |  06 18 Auto Maneuver to FDAI RPY Angles ->  06 18 Auto Maneuver to FDAI RPY Angles - Display Decimal - Desired Maneuver to FDAI RPY Angles (.01°)
MCC1 |  F 50 18 Request Maneuver to FDAI RPY angles ->  F 50 18 Request Maneuver to FDAI RPY angles - Please Perform - Desired Maneuver to FDAI RPY Angles (.01°)
MCC1 |   F 06 81 dV XYZ (LV) ->   F 06 81 dV XYZ (LV) - Display Decimal - R1=dVX (LV) (+Fwd), R2=dVY (LV) (+Rt), R3=dVZ (LV) (+Dn) (.1fps)
MCC1 |   F 06 59 dV LOS ->   F 06 59 dV LOS - Display Decimal - R1=dV LOS Fwd/Aft (+FWD), R2=dV LOS Rt/Left (+RT), R3=dV LOS Up/Dn (+DN) (.1fps)
MCC1 |   F 16 45 MARKS, TFI, MGA ->   F 16 45 MARKS, TFI, MGA - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
MCC1 |   F 37 ->   F 37 - Change Program
MCC1 |   F 50 18 Request MNVR to FDAI RPY Angles ->   F 50 18 Request MNVR to FDAI RPY Angles - Please Perform - Desired Maneuver to FDAI RPY Angles (.01°)
MCC1 |   16 85 VG XYZ (LM) ->   16 85 VG XYZ (LM) - Monitor Decimal - R1=dGX (LM) (+Up), R2=dGY (LM) (+Rt), R3=dGZ (LM) (+Fwd) (.1fps)
MCC1 |   16 85 (AVE G ON) ->   16 85 (AVE G ON) - Monitor Decimal - R1=dGX (LM) (+Up), R2=dGY (LM) (+Rt), R3=dGZ (LM) (+Fwd) (.1fps)
MCC1 |   F 16 85 VG XYZ (LM) ->   F 16 85 VG XYZ (LM) - Monitor Decimal - R1=dGX (LM) (+Up), R2=dGY (LM) (+Rt), R3=dGZ (LM) (+Fwd) (.1fps)
MCC1 |   F 37 ->   F 37 - Change Program
MCC2 |   F 16 45 MARKS, TFI, -00001 ->   F 16 45 MARKS, TFI, -00001 - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
MCC2 |   F 06 81 dV XYZ (LV) ->   F 06 81 dV XYZ (LV) - Display Decimal - R1=dVX (LV) (+Fwd), R2=dVY (LV) (+Rt), R3=dVZ (LV) (+Dn) (.1fps)
MCC2 |   F 06 59 dV LOS ->   F 06 59 dV LOS - Display Decimal - R1=dV LOS Fwd/Aft (+FWD), R2=dV LOS Rt/Left (+RT), R3=dV LOS Up/Dn (+DN) (.1fps)
MCC2 |   F 16 45 MARKS, TFI, MGA ->   F 16 45 MARKS, TFI, MGA - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
MCC2 |   F 37 ->   F 37 - Change Program
MCC2 |   F 50 18 Request MNVR to FDAI RPY Angles ->   F 50 18 Request MNVR to FDAI RPY Angles - Please Perform - Desired Maneuver to FDAI RPY Angles (.01°)
MCC2 |   16 85 VG XYZ (LM) ->   16 85 VG XYZ (LM) - Monitor Decimal - R1=dGX (LM) (+Up), R2=dGY (LM) (+Rt), R3=dGZ (LM) (+Fwd) (.1fps)
MCC2 |   16 85 (AVE G ON) ->   16 85 (AVE G ON) - Monitor Decimal - R1=dGX (LM) (+Up), R2=dGY (LM) (+Rt), R3=dGZ (LM) (+Fwd) (.1fps)
MCC2 |   F 16 85 VG XYZ (LM) ->   F 16 85 VG XYZ (LM) - Monitor Decimal - R1=dGX (LM) (+Up), R2=dGY (LM) (+Rt), R3=dGZ (LM) (+Fwd) (.1fps)
MCC2 |   F 37 ->   F 37 - Change Program
CSM Active Docking |   F 06 47 ->   F 06 47 - Display Decimal - R1=LM Weight, R2=CSM Weight (lbs)
Reject LR |  F 16 66 ->  F 16 66 - Monitor Decimal - R1=LR Slant Range, R2=LR Position (ft 00001/00002)
RR Checkout |  16 72 TRUN, SHAFT (.01 deg) ->  16 72 TRUN, SHAFT (.01 deg) - Monitor Decimal - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
RR Checkout |  F 06 54 (R, R-Dot, Theta) ->  F 06 54 (R, R-Dot, Theta) - Display Decimal - R1=Range, R2=Range Rate, R3=Theta (.01nm .1fps .01°)
RR Checkout |  F 04 12 ->  F 04 12 - Display Octal Comp 1&2  - R1=Option Code (Extended Verbs Only), R2=Desired Option (Octal)
RR Checkout |  F 16 72 TRUN, SHAFT (.01 deg) ->  F 16 72 TRUN, SHAFT (.01 deg) - Monitor Decimal - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
RR Checkout |  F 16 78 RANGE, RANGE RATE, TFI (.01nm, fps, min-sec) ->  F 16 78 RANGE, RANGE RATE, TFI (.01nm, fps, min-sec) - Monitor Decimal - R1=RR Range, R2=RR Range Rate (.01nm fps)
RR Checkout |  16 72 TRUN, SHAFT (.01 deg) ->  16 72 TRUN, SHAFT (.01 deg) - Monitor Decimal - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
DAP Set, Gimbal Throttle Test |   F 06 47 ->   F 06 47 - Display Decimal - R1=LM Weight, R2=CSM Weight (lbs)
DAP Set, Gimbal Throttle Test |   F 06 48 ->   F 06 48 - Display Decimal - R1=Engine Gimbal Pitch Trim (+ Only), R2=Engine Gimbal Roll Trim (+ Only) (.01°)
DAP Set, Gimbal Throttle Test |  F 50 48 ->  F 50 48 - Please Perform - R1=Engine Gimbal Pitch Trim (+ Only), R2=Engine Gimbal Roll Trim (+ Only) (.01°)
RNDZ RDR Self Test |  F 04 12 ->  F 04 12 - Display Octal Comp 1&2  - R1=Option Code (Extended Verbs Only), R2=Desired Option (Octal)
RNDZ RDR Self Test |  F 16 72 TRUN, SHAFT (.01 deg) ->  F 16 72 TRUN, SHAFT (.01 deg) - Monitor Decimal - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
RNDZ RDR Self Test |  F 16 78 RANGE, RANGE RATE, TFI (.01nm, fps, min-sec) ->  F 16 78 RANGE, RANGE RATE, TFI (.01nm, fps, min-sec) - Monitor Decimal - R1=RR Range, R2=RR Range Rate (.01nm fps)
RNDZ RDR Self Test |  F 04 12 R2 00002 ->  F 04 12 R2 00002 - Display Octal Comp 1&2  - R1=Option Code (Extended Verbs Only), R2=Desired Option (Octal)
RNDZ RDR Self Test |  F 04 12 R2 00002 ->  F 04 12 R2 00002 - Display Octal Comp 1&2  - R1=Option Code (Extended Verbs Only), R2=Desired Option (Octal)
RNDZ RDR Self Test |  F 04 12 R2 00002 ->  F 04 12 R2 00002 - Display Octal Comp 1&2  - R1=Option Code (Extended Verbs Only), R2=Desired Option (Octal)
LDG RDR Self Test |  F 04 12 ->  F 04 12 - Display Octal Comp 1&2  - R1=Option Code (Extended Verbs Only), R2=Desired Option (Octal)
LDG RDR Self Test |  F 16 66 SLANT RANGE, ANT POSITION ->  F 16 66 SLANT RANGE, ANT POSITION - Monitor Decimal - R1=LR Slant Range, R2=LR Position (ft 00001/00002)
LDG RDR Self Test |  F 16 67 VX,VY,VZ ->  F 16 67 VX,VY,VZ - Monitor Decimal - LR R1=VX, R2=VY, R3=VZ (fps)
LDG RDR Self Test |  F 04 12 ->  F 04 12 - Display Octal Comp 1&2  - R1=Option Code (Extended Verbs Only), R2=Desired Option (Octal)
AGS Initialization |   F 06 16 GET OF AGS 0 TIME ->   F 06 16 GET OF AGS 0 TIME - Display Decimal - Time of Event (Extended Verbs Only) (hrs min .01sec)
AGS Initialization |   F 50 16 Downlink Complete ->   F 50 16 Downlink Complete - Please Perform - Time of Event (Extended Verbs Only) (hrs min .01sec)
AGS Update |   F 06 16 GET OF AGS 0 TIME ->   F 06 16 GET OF AGS 0 TIME - Display Decimal - Time of Event (Extended Verbs Only) (hrs min .01sec)
AGS Update |   F 50 16 Downlink Complete ->   F 50 16 Downlink Complete - Please Perform - Time of Event (Extended Verbs Only) (hrs min .01sec)
P22 Lunar Surface Navigation |   F 04 06 ->   F 04 06 - Display Octal Comp 1&2  - R1=Option Code, R2=Desired Option, R3=Data (Octal)
P30 External dV |   F 06 33 (TIG) ->   F 06 33 (TIG) - Display Decimal - TIG (hrs min .01sec)
P30 External dV |   F 06 81 DV XYZ (LV) ->   F 06 81 DV XYZ (LV) - Display Decimal - R1=dVX (LV) (+Fwd), R2=dVY (LV) (+Rt), R3=dVZ (LV) (+Dn) (.1fps)
P30 External dV |   F 06 42 HA, HP, DV (REQ) ->   F 06 42 HA, HP, DV (REQ) - Display Decimal - R1=Apogee, R2=Perigee R3=dV (Required) (.1nm .1nm .1fps)
P30 External dV |   F 16 45 MARKS, TFI, MGA ->   F 16 45 MARKS, TFI, MGA - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
P30 External dV |   F 37 ->   F 37 - Change Program
P40 DPS Thrusting |   F 06 47 ->   F 06 47 - Display Decimal - R1=LM Weight, R2=CSM Weight (lbs)
P40 DPS Thrusting |   F 50 18 Request MNVR to FDAI RPY Angles ->   F 50 18 Request MNVR to FDAI RPY Angles - Please Perform - Desired Maneuver to FDAI RPY Angles (.01°)
P40 DPS Thrusting |   06 18 Auto MNVR to FDAI RPY Angles ->   06 18 Auto MNVR to FDAI RPY Angles - Display Decimal - Desired Maneuver to FDAI RPY Angles (.01°)
P40 DPS Thrusting |   F 50 18 Request MNVR to FDAI RPY Angles ->   F 50 18 Request MNVR to FDAI RPY Angles - Please Perform - Desired Maneuver to FDAI RPY Angles (.01°)
P40 DPS Thrusting |   06 40 TFI, VG, VM ->   06 40 TFI, VG, VM - Display Decimal - R1=Time From Ignition/Cutoff, R2=VG ,R3=dV (Accumulated) (min-sec .1fps .1fps)
P40 DPS Thrusting |   06 40 (AVE G ON) ->   06 40 (AVE G ON) - Display Decimal - R1=Time From Ignition/Cutoff, R2=VG ,R3=dV (Accumulated) (min-sec .1fps .1fps)
P40 DPS Thrusting |   06 40 (TFC, VG, dVM) ->   06 40 (TFC, VG, dVM) - Display Decimal - R1=Time From Ignition/Cutoff, R2=VG ,R3=dV (Accumulated) (min-sec .1fps .1fps)
P40 DPS Thrusting |   F 16 40 TFC, VG, dVM ->   F 16 40 TFC, VG, dVM - Monitor Decimal - R1=Time From Ignition/Cutoff, R2=VG ,R3=dV (Accumulated) (min-sec .1fps .1fps)
P40 DPS Thrusting |   F 16 85 VG XYZ (LM) ->   F 16 85 VG XYZ (LM) - Monitor Decimal - R1=dGX (LM) (+Up), R2=dGY (LM) (+Rt), R3=dGZ (LM) (+Fwd) (.1fps)
P40 DPS Thrusting |   F 37 ->   F 37 - Change Program
P41 RCS Thrusting |   F 06 47 ->   F 06 47 - Display Decimal - R1=LM Weight, R2=CSM Weight (lbs)
P41 RCS Thrusting |   F 50 18 Request MNVR to FDAI RPY Angles ->   F 50 18 Request MNVR to FDAI RPY Angles - Please Perform - Desired Maneuver to FDAI RPY Angles (.01°)
P41 RCS Thrusting |   06 18 Auto MNVR to FDAI RPY Angles ->   06 18 Auto MNVR to FDAI RPY Angles - Display Decimal - Desired Maneuver to FDAI RPY Angles (.01°)
P41 RCS Thrusting |   F 50 18 Request MNVR to FDAI RPY Angles ->   F 50 18 Request MNVR to FDAI RPY Angles - Please Perform - Desired Maneuver to FDAI RPY Angles (.01°)
P41 RCS Thrusting |   16 85 VG XYZ (LM) ->   16 85 VG XYZ (LM) - Monitor Decimal - R1=dGX (LM) (+Up), R2=dGY (LM) (+Rt), R3=dGZ (LM) (+Fwd) (.1fps)
P41 RCS Thrusting |   16 85 (AVE G ON) ->   16 85 (AVE G ON) - Monitor Decimal - R1=dGX (LM) (+Up), R2=dGY (LM) (+Rt), R3=dGZ (LM) (+Fwd) (.1fps)
P41 RCS Thrusting |   F 16 85 VG XYZ (LM) ->   F 16 85 VG XYZ (LM) - Monitor Decimal - R1=dGX (LM) (+Up), R2=dGY (LM) (+Rt), R3=dGZ (LM) (+Fwd) (.1fps)
P41 RCS Thrusting |   F 37 ->   F 37 - Change Program
P42 APS Thrusting |   F 50 18 Request MNVR to FDAI RPY Angles ->   F 50 18 Request MNVR to FDAI RPY Angles - Please Perform - Desired Maneuver to FDAI RPY Angles (.01°)
P42 APS Thrusting |   06 18 Auto MNVR to FDAI RPY Angles ->   06 18 Auto MNVR to FDAI RPY Angles - Display Decimal - Desired Maneuver to FDAI RPY Angles (.01°)
P42 APS Thrusting |   F 06 86 dVX, dVY, dVZ  ->   F 06 86 dVX, dVY, dVZ  - Display Decimal - R1=dGX (LV) (+Fwd), R2=dGY (LV) (+Rt), R3=dGZ (LV) (+Dn) (.1fps)
P42 APS Thrusting |   F 50 18 Request MNVR to FDAI RPY Angles ->   F 50 18 Request MNVR to FDAI RPY Angles - Please Perform - Desired Maneuver to FDAI RPY Angles (.01°)
P42 APS Thrusting |   F 50 18 Request MNVR to FDAI RPY Angles ->   F 50 18 Request MNVR to FDAI RPY Angles - Please Perform - Desired Maneuver to FDAI RPY Angles (.01°)
P42 APS Thrusting |   16 85 VG XYZ (LM) ->   16 85 VG XYZ (LM) - Monitor Decimal - R1=dGX (LM) (+Up), R2=dGY (LM) (+Rt), R3=dGZ (LM) (+Fwd) (.1fps)
P42 APS Thrusting |   06 40 (AVE G ON) ->   06 40 (AVE G ON) - Display Decimal - R1=Time From Ignition/Cutoff, R2=VG ,R3=dV (Accumulated) (min-sec .1fps .1fps)
P42 APS Thrusting |   06 40 (TFC, VG, dVM) ->   06 40 (TFC, VG, dVM) - Display Decimal - R1=Time From Ignition/Cutoff, R2=VG ,R3=dV (Accumulated) (min-sec .1fps .1fps)
P42 APS Thrusting |   F 16 40 TFC, VG, dVM ->   F 16 40 TFC, VG, dVM - Monitor Decimal - R1=Time From Ignition/Cutoff, R2=VG ,R3=dV (Accumulated) (min-sec .1fps .1fps)
P42 APS Thrusting |   F 16 85 VG XYZ (LM) ->   F 16 85 VG XYZ (LM) - Monitor Decimal - R1=dGX (LM) (+Up), R2=dGY (LM) (+Rt), R3=dGZ (LM) (+Fwd) (.1fps)
P42 APS Thrusting |   F 37 ->   F 37 - Change Program
Initial Power Down |   F 50 25 ->   F 50 25 - Please Perform - Checklist (Used with V50) (Octal)
P76 Target dV |   F 06 84 Target dV XYZ (LV) ->   F 06 84 Target dV XYZ (LV) - Display Decimal - R1=dVX (other vehicle)+(RXV)XR, R2=dVY (other vehicle)+(VXR), R3=dVZ (other vehicle)+(-R) (.1fps)
P76 Target dV |   F 06 33 (TIG) ->   F 06 33 (TIG) - Display Decimal - TIG (hrs min .01sec)
P76 Target dV |   F 37 ->   F 37 - Change Program

