TPI | 303R -> 303R - Predicted LOS at TIG TPI (TPI mode), LM/CSM Central Angle at CDH (CSI,CDH, O.I.) (.01deg)
TPI | 410+4 -> 410+4 - TPI Execute Routine
TPI | 370R -> 370R - VELOCITY TO GAIN MAGNITUDE
TPI | 371R -> 371R - dV for CDH (Valid in CSI, Coast), dV Direct Trans & Brak (TPI) (.1fps)
TPI | 310+01300 (No Enter) -> 310+01300 (No Enter) - Targeted TFI TPI (For TPI Search Routine) (.01 min)
TPI | 303R -> 303R - Predicted LOS at TIG TPI (TPI mode), LM/CSM Central Angle at CDH (CSI,CDH, O.I.) (.01deg)
TPI | 277R (Theta) -> 277R (Theta) - Angle Between Local Horizon and Z body Axls (.01deg)
TPI | 310+00800 (No Enter) -> 310+00800 (No Enter) - Targeted TFI TPI (For TPI Search Routine) (.01 min)
TPI | 303R -> 303R - Predicted LOS at TIG TPI (TPI mode), LM/CSM Central Angle at CDH (CSI,CDH, O.I.) (.01deg)
TPI | 410+4 -> 410+4 - TPI Execute Routine
TPI | 404+0 -> 404+0 - dVX (Use 470 For Readout) (Octal)
TPI | 405+0 -> 405+0 - dVY (Use 471 For Readout) (Octal)
TPI | 406+0 -> 406+0 - dVZ (Use 472 For Readout) (Octal)
TPI | 373R -> 373R - AGS TIG CSI,CDH,TPI/TPM (.1 min)
TPI | 267R -> 267R - Delta Velocity To Be Gained (.1fps)
TPI | 371R -> 371R - dV for CDH (Valid in CSI, Coast), dV Direct Trans & Brak (TPI) (.1fps)
TPI | 400+0 -> 400+0 - Attitude Hold
TPI | 450 -> 450 - dVX (LV) (+Fwd) (.1fps)
TPI | 451 -> 451 - dVY (LV) (+Rt) (.1fps)
TPI | 452 -> 452 - dVZ (LV) (+Dn) (.1fps)
TPI | 407+0 -> 407+0 - Use Rotating External dV Reference Frame
TPI | 502R -> 502R - dVgz (LM) (+ Fwd) (.1fps)
TPI | 407+1 -> 407+1 - Freeze External dV in Inertial Space and allow dVs to Count
TPI | 502R -> 502R - dVgz (LM) (+ Fwd) (.1fps)
MCC1 | 404+0 -> 404+0 - dVX (Use 470 For Readout) (Octal)
MCC1 | 405+0 -> 405+0 - dVY (Use 471 For Readout) (Octal)
MCC1 | 406+0 -> 406+0 - dVZ (Use 472 For Readout) (Octal)
MCC1 | 400+2 -> 400+2 - Z-Body Axis Steering
MCC1 | 407+1 -> 407+1 - Freeze External dV in Inertial Space and allow dVs to Count
MCC1 | 472R -> 472R - dVZ Measured (LM) (+ Fwd) (Use 406 to Zero) (.1fps)
MCC2 | 404+0 -> 404+0 - dVX (Use 470 For Readout) (Octal)
MCC2 | 405+0 -> 405+0 - dVY (Use 471 For Readout) (Octal)
MCC2 | 406+0 -> 406+0 - dVZ (Use 472 For Readout) (Octal)
MCC2 | 407+1 -> 407+1 - Freeze External dV in Inertial Space and allow dVs to Count
MCC2 | 472R -> 472R - dVZ Measured (LM) (+ Fwd) (Use 406 to Zero) (.1fps)
AGS Activation & Self Test | 000+888888 -> 000+888888 - DEDA Display Segment Test
AGS Activation & Self Test | 123-45679 -> 123-45679 - Sign and Sequence Logic Test
AGS Activation & Self Test | 412+0 Reinitiate Test -> 412+0 Reinitiate Test - Reinitiate Test
AGS Activation & Self Test | 412R -> 412R - IN FLIGHT SELF TEST STATUS INDICATOR
AGS Activation & Self Test | 574R Descent Stage Flag (+ Not Staged) -> 574R Descent Stage Flag (+ Not Staged) - Section Staging Flag (+ not staged) (Octal)
AGS Activation & Self Test | 604R Lunar Surface Flag (+ Not On Lunar Surface) -> 604R Lunar Surface Flag (+ Not On Lunar Surface) - Lunar Surface Flag (+ not on Lunar Surface) (Octal)
AGS Activation & Self Test | 612R Staging Seq Counter (+0 Nom) -> 612R Staging Seq Counter (+0 Nom) - Staging sequence counter (Octal)
AGS Initialization | 377+05500 -> 377+05500 - AGS Computer Time (T) (.1 min)
AGS Initialization | 414+1 -> 414+1 - LM And CSM Navigation Initialization via PGNCS Downlink
AGS Initialization | 414R -> 414R - NAVIGATION INITIALIZE
AGS Initialization | 400+3 -> 400+3 - IMU Align
AGS Initialization | 317R (Range) -> 317R (Range) - LM to CSM Range (R) (Computed) (.1 nm)
AGS Initialization | 440R (Range Rate) -> 440R (Range Rate) - Range Rate Between LM and CSM (RDOT) (-closing) (.1fps)
AGS Initialization | 277R (Theta) -> 277R (Theta) - Angle Between Local Horizon and Z body Axls (.01deg)
AGS Update | 414+1 -> 414+1 - LM And CSM Navigation Initialization via PGNCS Downlink
AGS Update | 414R -> 414R - NAVIGATION INITIALIZE
AGS Calibration | 540R -> 540R - X Accel Bias Comp Coeff (.001 ft/sec 2)
AGS Calibration | 541R -> 541R - Y Accel Bias Comp Coeff (.001 ft/sec 2)
AGS Calibration | 542R -> 542R - Z Accel Bias Comp Coeff (.001 ft/sec 2)
AGS Calibration | 544R -> 544R - X Gyro Drift Comp (.01deg/hr)
AGS Calibration | 545R -> 545R - Y Gyro Drift Comp (.01deg/hr)
AGS Calibration | 546R -> 546R - Z Gyro Drift Comp (.01deg/hr)
AGS Calibration | 400+6 -> 400+6 - Gyro and Accelerometer Calibration (302sec,32sec)
AGS Calibration | 540R -> 540R - X Accel Bias Comp Coeff (.001 ft/sec 2)
AGS Calibration | 541R -> 541R - Y Accel Bias Comp Coeff (.001 ft/sec 2)
AGS Calibration | 542R -> 542R - Z Accel Bias Comp Coeff (.001 ft/sec 2)
AGS Calibration | 400R -> 400R - AGS FUNCTION SELECTOR
AGS Calibration | 544R -> 544R - X Gyro Drift Comp (.01deg/hr)
AGS Calibration | 545R -> 545R - Y Gyro Drift Comp (.01deg/hr)
AGS Calibration | 546R -> 546R - Z Gyro Drift Comp (.01deg/hr)
AGS DPS External dV | 410+5 -> 410+5 - External dV
AGS DPS External dV | 450+ -> 450+ - dVX (LV) (+Fwd) (.1fps)
AGS DPS External dV | 451+ -> 451+ - dVY (LV) (+Rt) (.1fps)
AGS DPS External dV | 452+ -> 452+ - dVZ (LV) (+Dn) (.1fps)
AGS DPS External dV | 267R -> 267R - Delta Velocity To Be Gained (.1fps)
AGS DPS External dV | 411+0 -> 411+0 - DPS or RCS Engine Select
AGS DPS External dV | 400+1 Guidance Steering (Z-axis,400+2,507+1) -> 400+1 Guidance Steering (Z-axis,400+2,507+1) - Auto Guidance Steering
AGS DPS External dV | 407+0 -> 407+0 - Use Rotating External dV Reference Frame
AGS DPS External dV | 501R -> 501R - dVgy (LM) (+ Rt) (.1fps)
AGS DPS External dV | 502R -> 502R - dVgz (LM) (+ Fwd) (.1fps)
AGS DPS External dV | 500R -> 500R - dVgx (LM) (+ Up) (.1fps)
AGS DPS External dV | 501R -> 501R - dVgy (LM) (+ Rt) (.1fps)
AGS DPS External dV | 502R -> 502R - dVgz (LM) (+ Fwd) (.1fps)
AGS DPS External dV | 500R -> 500R - dVgx (LM) (+ Up) (.1fps)
P42 APS Thrusting | 410+5 -> 410+5 - External dV
P42 APS Thrusting | 450+ -> 450+ - dVX (LV) (+Fwd) (.1fps)
P42 APS Thrusting | 451+ -> 451+ - dVY (LV) (+Rt) (.1fps)
P42 APS Thrusting | 452+ -> 452+ - dVZ (LV) (+Dn) (.1fps)
P42 APS Thrusting | 267R -> 267R - Delta Velocity To Be Gained (.1fps)
P42 APS Thrusting | 407+0 -> 407+0 - REFERENCE FRAME SELECTOR FOR FXT DV
P42 APS Thrusting | 500R -> 500R - dVgx (LM) (+ Up) (.1fps)

