Lunar Liftoff | 00E -> 00E - LGC Idle
Rendezvous | V48E -> V48E - Load DAP Data (R03)
Rendezvous | V21E -> V21E - Load Component 1 in R1
Rendezvous | V34E -> V34E - Terminate
Rendezvous | V41 N72E -> V41 N72E - Coarse Align CDU’s (Specify N20 or N72) - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
Rendezvous | V16 N72E -> V16 N72E - Monitor Decimal - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
Rendezvous | V44E -> V44E - Terminate Continuous Designate (V41N72 Option 2)
Rendezvous | V48E -> V48E - Load DAP Data (R03)
Rendezvous | V21E -> V21E - Load Component 1 in R1
Rendezvous | V34E -> V34E - Terminate
Rendezvous | V95E -> V95E - Inhibit State Vector Update (P20 or P22)
Rendezvous | V67E (Reset W Matrix) -> V67E (Reset W Matrix) - W-Matrix Monitor
Rendezvous | V25E -> V25E - Load Component 1&2&3
Rendezvous | V37E 20E -> V37E 20E - Change Program - Rendezvous Navigation
Rendezvous | V80E -> V80E - Update LM State Vector
Rendezvous | V16 N45E -> V16 N45E - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
Rendezvous | V67E -> V67E - W-Matrix Monitor
Rendezvous | 00E -> 00E - LGC Idle
Rendezvous | V48E -> V48E - Load DAP Data (R03)
Rendezvous | V21E -> V21E - Load Component 1 in R1
Rendezvous | V34E -> V34E - Terminate
Rendezvous | V37E 47E -> V37E 47E - Change Program - ?V Monitor
Rendezvous | V63E -> V63E - Start RR/LR Self-Test
CSI | V37E 32E -> V37E 32E - Change Program - CSI Pre-Thrust (Coelliptic Sequence Initiation)
CSI | V25E -> V25E - Load Component 1&2&3
CSI | Key V83E -> Key V83E - Rendezvous Parameter Display (R31)
CSI | V32E (Recycle P32) -> V32E (Recycle P32) - Recycle
CSI | V90E -> V90E - Request Rendezvous Out of Plane Display (R36) (Non-P12)
CSI | V83E -> V83E - Rendezvous Parameter Display (R31)
CSI | 41E -> 41E - RCS (Reaction Control System)
CSI | V06 N86E -> V06 N86E - Display Decimal - R1=?GX (LV) (+Fwd), R2=?GY (LV) (+Rt), R3=?GZ (LV) (+Dn) (.1fps)
CSI | V77E -> V77E - Set Rate Command/Attitude Hold Mode in DAP
CDH | V76E -> V76E - Set Min Impulse Mode in DAP
CDH | 33E -> 33E - CDH Pre-Thrust (Constant Delta Height)
CDH | V67E (Reset W Matrix) -> V67E (Reset W Matrix) - W-Matrix Monitor
CDH | V25E -> V25E - Load Component 1&2&3
CDH | V32E (Recycle P33) -> V32E (Recycle P33) - Recycle
CDH | V90E -> V90E - Request Rendezvous Out of Plane Display (R36) (Non-P12)
CDH | V32E (Recycle P33) -> V32E (Recycle P33) - Recycle
CDH | V93E (Reinitialize W-Matrix) -> V93E (Reinitialize W-Matrix) - Enable W-Matrix Initialization
CDH | V93E (Reinitialize W-Matrix) -> V93E (Reinitialize W-Matrix) - Enable W-Matrix Initialization
CDH | V32E (Recycle P33) -> V32E (Recycle P33) - Recycle
CDH | V90E -> V90E - Request Rendezvous Out of Plane Display (R36) (Non-P12)
CDH | V83E -> V83E - Rendezvous Parameter Display (R31)
CDH | 41E -> 41E - RCS (Reaction Control System)
CDH | V06 N86E -> V06 N86E - Display Decimal - R1=?GX (LV) (+Fwd), R2=?GY (LV) (+Rt), R3=?GZ (LV) (+Dn) (.1fps)
CDH | V77E -> V77E - Set Rate Command/Attitude Hold Mode in DAP
PC | V34E -> V34E - Terminate
PC | 30E -> 30E - External ?V
PC | V90E -> V90E - Request Rendezvous Out of Plane Display (R36) (Non-P12)
PC | 41E -> 41E - RCS (Reaction Control System)
PC | V77E -> V77E - Set Rate Command/Attitude Hold Mode in DAP
PC | V76E -> V76E - Set Min Impulse Mode in DAP
PC | V37E 33E -> V37E 33E - Change Program - CDH Pre-Thrust (Constant Delta Height)
TPI | V76E -> V76E - Set Min Impulse Mode in DAP
TPI | 34E -> 34E - TPI Pre-Thrust (Terminal Phase Initiation)
TPI | V25E -> V25E - Load Component 1&2&3
TPI | V93E (Reinitialize W-Matrix) -> V93E (Reinitialize W-Matrix) - Enable W-Matrix Initialization
TPI | V32E (Recycle P34) -> V32E (Recycle P34) - Recycle
TPI | V32E (Recycle P34) -> V32E (Recycle P34) - Recycle
TPI | V90E -> V90E - Request Rendezvous Out of Plane Display (R36) (Non-P12)
TPI | 41E -> 41E - RCS (Reaction Control System)
TPI | V06 N86E -> V06 N86E - Display Decimal - R1=?GX (LV) (+Fwd), R2=?GY (LV) (+Rt), R3=?GZ (LV) (+Dn) (.1fps)
TPI | V77E -> V77E - Set Rate Command/Attitude Hold Mode in DAP
MCC1 | V76E -> V76E - Set Min Impulse Mode in DAP
MCC1 | V93E (Reinitialize W-Matrix) -> V93E (Reinitialize W-Matrix) - Enable W-Matrix Initialization
MCC1 | 35E -> 35E - TPM Pre-Thrust (Transfer Phase Midcourse)
MCC1 | 41E -> 41E - RCS (Reaction Control System)
MCC1 | V77E -> V77E - Set Rate Command/Attitude Hold Mode in DAP
